,precision,recall,f1-score,support
a,0.0,0.0,0.0,1.0
ay,1.0,1.0,1.0,1.0
b,1.0,1.0,1.0,1.0
c,0.25,1.0,0.4,1.0
ch,0.0,0.0,0.0,1.0
d,0.0,0.0,0.0,1.0
e,0.2,1.0,0.3333333333333333,1.0
ee,0.0,0.0,0.0,1.0
f,1.0,1.0,1.0,1.0
g,0.0,0.0,0.0,1.0
h,0.0,0.0,0.0,1.0
i,1.0,1.0,1.0,1.0
igh,0.0,0.0,0.0,1.0
j,0.0,0.0,0.0,1.0
k,1.0,1.0,1.0,1.0
l,1.0,1.0,1.0,1.0
m,0.5,1.0,0.6666666666666666,1.0
n,1.0,1.0,1.0,1.0
ng,1.0,1.0,1.0,1.0
o,0.5,1.0,0.6666666666666666,1.0
oh,1.0,1.0,1.0,1.0
oo,0.5,1.0,0.6666666666666666,1.0
p,0.5,1.0,0.6666666666666666,1.0
r,1.0,1.0,1.0,1.0
s,1.0,1.0,1.0,1.0
sh,1.0,1.0,1.0,1.0
t,0.0,0.0,0.0,1.0
th,0.0,0.0,0.0,1.0
u,1.0,1.0,1.0,1.0
v,0.0,0.0,0.0,1.0
w,0.5,1.0,0.6666666666666666,1.0
y,1.0,1.0,1.0,1.0
z,0.0,0.0,0.0,1.0
accuracy,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
macro avg,0.5136363636363637,0.6363636363636364,0.5474747474747473,33.0
weighted avg,0.5136363636363637,0.6363636363636364,0.5474747474747473,33.0
