,precision,recall,f1-score,support
a,1.0,1.0,1.0,1.0
b,1.0,1.0,1.0,1.0
c,0.5,1.0,0.6666666666666666,1.0
ch,1.0,1.0,1.0,1.0
d,0.0,0.0,0.0,1.0
e,1.0,1.0,1.0,1.0
f,0.0,0.0,0.0,1.0
g,0.25,1.0,0.4,1.0
h,0.0,0.0,0.0,1.0
i,0.0,0.0,0.0,1.0
j,1.0,1.0,1.0,1.0
k,0.0,0.0,0.0,1.0
l,0.0,0.0,0.0,1.0
ll,0.0,0.0,0.0,1.0
m,0.0,0.0,0.0,1.0
n,0.0,0.0,0.0,1.0
o,1.0,1.0,1.0,1.0
p,0.0,0.0,0.0,1.0
r,0.16666666666666666,1.0,0.2857142857142857,1.0
rr,0.16666666666666666,1.0,0.2857142857142857,1.0
s,1.0,1.0,1.0,1.0
t,1.0,1.0,1.0,1.0
u,0.0,0.0,0.0,1.0
v,0.0,0.0,0.0,1.0
y,0.0,0.0,0.0,1.0
z,1.0,1.0,1.0,1.0
ñ,0.0,0.0,0.0,1.0
accuracy,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145
macro avg,0.37345679012345684,0.48148148148148145,0.39400352733686067,27.0
weighted avg,0.37345679012345684,0.48148148148148145,0.39400352733686067,27.0
