,precision,recall,f1-score,support
a,1.0,1.0,1.0,1.0
b,1.0,1.0,1.0,1.0
c,1.0,1.0,1.0,1.0
ch,1.0,1.0,1.0,1.0
d,1.0,1.0,1.0,1.0
e,1.0,1.0,1.0,1.0
f,1.0,1.0,1.0,1.0
g,1.0,1.0,1.0,1.0
h,1.0,1.0,1.0,1.0
i,1.0,1.0,1.0,1.0
j,1.0,1.0,1.0,1.0
k,1.0,1.0,1.0,1.0
l,1.0,1.0,1.0,1.0
ll,1.0,1.0,1.0,1.0
m,0.3333333333333333,1.0,0.5,1.0
n,0.0,0.0,0.0,1.0
o,1.0,1.0,1.0,1.0
p,1.0,1.0,1.0,1.0
r,0.0,0.0,0.0,1.0
rr,1.0,1.0,1.0,1.0
s,1.0,1.0,1.0,1.0
t,1.0,1.0,1.0,1.0
u,1.0,1.0,1.0,1.0
v,1.0,1.0,1.0,1.0
y,1.0,1.0,1.0,1.0
z,1.0,1.0,1.0,1.0
ñ,1.0,1.0,1.0,1.0
accuracy,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259
macro avg,0.9012345679012346,0.9259259259259259,0.9074074074074074,27.0
weighted avg,0.9012345679012346,0.9259259259259259,0.9074074074074074,27.0
