,precision,recall,f1-score,support
aceptarian,1.0,1.0,1.0,1.0
aclarado,1.0,1.0,1.0,1.0
acostumbrada,1.0,1.0,1.0,1.0
acrobacia,1.0,1.0,1.0,1.0
actuaron,1.0,1.0,1.0,1.0
acuerdo,1.0,1.0,1.0,1.0
adelantaron,1.0,1.0,1.0,1.0
adeptos,1.0,1.0,1.0,1.0
adherida,1.0,1.0,1.0,1.0
afinar,1.0,1.0,1.0,1.0
agotado,1.0,1.0,1.0,1.0
aguda,1.0,1.0,1.0,1.0
ahorros,1.0,1.0,1.0,1.0
allen,1.0,1.0,1.0,1.0
almuerzo,1.0,1.0,1.0,1.0
altamente,1.0,1.0,1.0,1.0
altas,1.0,1.0,1.0,1.0
altos,1.0,1.0,1.0,1.0
alzado,1.0,1.0,1.0,1.0
ambitos,1.0,1.0,1.0,1.0
amor,1.0,1.0,1.0,1.0
ampliara,1.0,1.0,1.0,1.0
anglosajon,1.0,1.0,1.0,1.0
anhelo,1.0,1.0,1.0,1.0
animales,1.0,1.0,1.0,1.0
aparecia,1.0,1.0,1.0,1.0
aplausos,1.0,1.0,1.0,1.0
aplican,1.0,1.0,1.0,1.0
apoyabamos,1.0,1.0,1.0,1.0
aprecio,1.0,1.0,1.0,1.0
aprietas,1.0,1.0,1.0,1.0
aproximacion,1.0,1.0,1.0,1.0
armados,1.0,1.0,1.0,1.0
arreglaria,1.0,1.0,1.0,1.0
artilleros,1.0,1.0,1.0,1.0
atacantes,1.0,1.0,1.0,1.0
atipico,1.0,1.0,1.0,1.0
atreven,1.0,1.0,1.0,1.0
atronadoras,1.0,1.0,1.0,1.0
audiovisual,1.0,1.0,1.0,1.0
aun,1.0,1.0,1.0,1.0
austriaca,1.0,1.0,1.0,1.0
autoridad,1.0,1.0,1.0,1.0
avila,1.0,1.0,1.0,1.0
ayuntamiento,1.0,1.0,1.0,1.0
bahia,1.0,1.0,1.0,1.0
baloncesto,1.0,1.0,1.0,1.0
banca,1.0,1.0,1.0,1.0
basta,1.0,1.0,1.0,1.0
bautizar,1.0,1.0,1.0,1.0
belgica,1.0,1.0,1.0,1.0
beneficiarse,1.0,1.0,1.0,1.0
bocanadas,1.0,1.0,1.0,1.0
boletas,1.0,1.0,1.0,1.0
boquenses,1.0,1.0,1.0,1.0
borrachos,1.0,1.0,1.0,1.0
brent,1.0,1.0,1.0,1.0
brinda,1.0,1.0,1.0,1.0
britanicas,1.0,1.0,1.0,1.0
burlas,1.0,1.0,1.0,1.0
calculos,1.0,1.0,1.0,1.0
cantaria,1.0,1.0,1.0,1.0
capturados,1.0,1.0,1.0,1.0
caracterizada,1.0,1.0,1.0,1.0
carlo,1.0,1.0,1.0,1.0
carrillo,1.0,1.0,1.0,1.0
categoria,1.0,1.0,1.0,1.0
causar,1.0,1.0,1.0,1.0
celebra,1.0,1.0,1.0,1.0
certidumbre,1.0,1.0,1.0,1.0
chico,1.0,1.0,1.0,1.0
cianimino,1.0,1.0,1.0,1.0
civilizacion,1.0,1.0,1.0,1.0
claridad,1.0,1.0,1.0,1.0
colmarlos,1.0,1.0,1.0,1.0
comemos,1.0,1.0,1.0,1.0
comenzaba,1.0,1.0,1.0,1.0
cometidas,1.0,1.0,1.0,1.0
comienzos,1.0,1.0,1.0,1.0
comisarios,1.0,1.0,1.0,1.0
compiten,1.0,1.0,1.0,1.0
concentraciones,1.0,1.0,1.0,1.0
concentrar,1.0,1.0,1.0,1.0
condecoraciones,1.0,1.0,1.0,1.0
conducia,1.0,1.0,1.0,1.0
confiables,1.0,1.0,1.0,1.0
confundidas,1.0,1.0,1.0,1.0
congas,1.0,1.0,1.0,1.0
contienen,1.0,1.0,1.0,1.0
copresidencia,1.0,1.0,1.0,1.0
corroboraron,1.0,1.0,1.0,1.0
corrupta,1.0,1.0,1.0,1.0
costeras,1.0,1.0,1.0,1.0
crecer,1.0,1.0,1.0,1.0
creencia,1.0,1.0,1.0,1.0
creyendo,1.0,1.0,1.0,1.0
crueles,1.0,1.0,1.0,1.0
cuaderno,1.0,1.0,1.0,1.0
cuales,1.0,1.0,1.0,1.0
cuba,1.0,1.0,1.0,1.0
cubiertas,1.0,1.0,1.0,1.0
defecto,1.0,1.0,1.0,1.0
defenderle,1.0,1.0,1.0,1.0
deficiencia,1.0,1.0,1.0,1.0
desacuerdo,1.0,1.0,1.0,1.0
desahogarse,1.0,1.0,1.0,1.0
desaparecidos,1.0,1.0,1.0,1.0
desden,1.0,1.0,1.0,1.0
desempleadas,1.0,1.0,1.0,1.0
desempleados,1.0,1.0,1.0,1.0
desencadenado,1.0,1.0,1.0,1.0
desentono,1.0,1.0,1.0,1.0
desheredados,1.0,1.0,1.0,1.0
desliz,1.0,1.0,1.0,1.0
despilfarro,1.0,1.0,1.0,1.0
desplazados,1.0,1.0,1.0,1.0
devuelve,1.0,1.0,1.0,1.0
dialogar,1.0,1.0,1.0,1.0
dictamenes,1.0,1.0,1.0,1.0
dijera,1.0,1.0,1.0,1.0
dimensiones,1.0,1.0,1.0,1.0
dirigida,1.0,1.0,1.0,1.0
disminuir,1.0,1.0,1.0,1.0
dividida,1.0,1.0,1.0,1.0
divisoria,1.0,1.0,1.0,1.0
drop,1.0,1.0,1.0,1.0
ebro,1.0,1.0,1.0,1.0
eco,1.0,1.0,1.0,1.0
ecuatoriana,1.0,1.0,1.0,1.0
edad,1.0,1.0,1.0,1.0
educativos,1.0,1.0,1.0,1.0
emigraron,1.0,1.0,1.0,1.0
emparienta,1.0,1.0,1.0,1.0
enamorada,1.0,1.0,1.0,1.0
enconado,1.0,1.0,1.0,1.0
enderezo,1.0,1.0,1.0,1.0
energumena,1.0,1.0,1.0,1.0
